cr_year,cat,n,prop
2018,gold,1167742,0.30300432369568425
2018,hoad,1679925,0.4359049674367047
2018,other,1006212,0.26109070886761104
2019,gold,1434589,0.34628061689884576
2019,hoad,1720638,0.415327029622837
2019,other,987624,0.23839235347831722
2020,gold,1699331,0.36984421905051473
2020,hoad,1821476,0.39642798768412707
2020,other,1073914,0.23372779326535822
2021,gold,1838261,0.3729592611017738
2021,hoad,1867390,0.3788691565500445
2021,other,1223201,0.24817158234818168
2022,gold,1828900,0.3623263056545013
2022,hoad,1830503,0.3626438785496646
2022,other,1388257,0.27502981579583413
