total,cc_total,issn_l,prop
427,427,2059-7754,1
40,40,2949-7191,1
21,21,2949-9070,1
260,260,2359-8093,1
159,159,1357-3217,1
1113,1113,2772-4085,1
70,70,2634-4602,1
15,15,2731-3425,1
235,235,1875-855X,1
186,186,2773-0212,1
229,229,2474-5871,1
269,269,2772-5693,1
28,28,2227-5789,1
407,407,2220-4334,1
231,231,2772-9931,1
165,165,2278-9626,1
428,428,2582-4287,1
36,36,2731-9121,1
20,20,2835-1096,1
17,17,2949-673X,1
29,29,2753-6386,1
143,143,1843-6188,1
49,49,2748-3479,1
50,50,2182-1968,1
120,120,2731-4235,1
32,32,2834-4405,1
115,115,2949-7086,1
27,27,2949-9232,1
100,100,2213-6320,1
146,146,2543-6821,1
27,27,2949-8821,1
32,32,2949-9127,1
37,37,2633-9137,1
38,38,2768-5241,1
16,16,2832-5869,1
91,91,2581-5784,1
195,195,0353-8648,1
40,40,2731-6726,1
29,29,2950-1172,1
30,30,2569-1783,1
26,26,2949-7469,1
63,63,2949-8228,1
27,27,2772-414X,1
49,49,2752-616X,1
42,42,2767-7206,1
269,269,2348-1153,1
33,33,2731-4391,1
11,11,2667-3207,1
58,58,2750-4867,1
12,12,2751-2614,1
54,54,2772-9400,1
188,188,2667-257X,1
168,168,1606-822X,1
38,38,2752-3810,1
19,19,2731-4790,1
39,39,2750-6665,1
7,7,2211-7148,1
43,43,2731-6068,1
24,24,2950-1334,1
57,57,2773-2320,1
51,51,2772-6940,1
118,118,2731-6203,1
57,57,2731-4596,1
53,53,2949-8392,1
69,69,2631-987X,1
31,31,2752-8464,1
122,122,2950-1954,1
163,163,1213-8770,1
74,74,2768-4830,1
80,80,2566-9346,1
19,19,2804-7346,1
42,42,1223-8139,1
28,28,2772-5588,1
66,66,1855-4202,1
11,11,2731-667X,1
75,75,1584-5990,1
56,56,0324-8569,1
47,47,2753-4294,1
33,33,2835-3153,1
13,13,2751-4102,1
16,16,2949-8813,1
62,62,2956-0454,1
17,17,2731-9687,1
91,91,2182-4916,1
24,24,2949-6977,1
11,11,2950-0087,1
11,11,2835-9402,1
80,80,2772-8099,1
86,86,1011-2855,1
23,23,2731-9423,1
25,25,2732-656X,1
34,34,2747-7487,1
4,4,2949-9054,1
2,2,2940-1402,1
11,11,2747-5271,1
25,25,2731-913X,1
31,31,2949-916X,1
18,18,2435-7936,1
13,13,2832-4765,1
57,57,1218-4586,1
70,70,2949-821X,1
25,25,2666-9781,1
5,5,1543-5180,1
30,30,2810-2010,1
22,22,2832-9023,1
4,4,2949-9690,1
24,24,2773-0417,1
41,41,2668-9545,1
30,30,2773-160X,1
30,30,2067-9440,1
62,62,2749-9049,1
15,15,0552-9360,1
59,59,2749-9030,1
65,65,2772-9648,1
25,25,2749-4799,1
37,37,2949-7329,1
22,22,2731-085X,1
19,19,2731-9377,1
55,55,2731-7501,1
32,32,2772-9702,1
64,64,2346-5492,1
24,24,2635-0238,1
28,28,2731-3263,1
21,21,2949-771X,1
85,85,2949-7612,1
15,15,2753-3212,1
36,36,0098-6151,1
1,1,2949-9623,1
12,12,2657-3601,1
17,17,0257-3784,1
24,24,2949-754X,1
14,14,2940-9497,1
21,21,2731-944X,1
25,25,2744-1687,1
21,21,2770-9329,1
6,6,2731-9598,1
11,11,2752-8073,1
32,32,2835-5075,1
26,26,2718-4978,1
16,16,2773-2339,1
44,44,2949-8635,1
6,6,2835-5245,1
20,20,2182-942X,1
15,15,2731-8745,1
33,33,2755-0834,1
17,17,2834-4448,1
30,30,2833-8073,1
29,29,2731-6564,1
23,23,1936-928X,1
24,24,2950-1946,1
14,14,2949-6691,1
4,4,2167-2857,1
11,11,2752-2997,1
13,13,2832-3556,1
11,11,2772-6118,1
17,17,2949-8996,1
5,5,2770-9140,1
1,1,2832-4897,1
44,44,2096-918X,1
13,13,2751-0166,1
18,18,2831-3461,1
30,30,2950-0044,1
2,2,2835-2610,1
21,21,2730-7719,1
10,10,2755-1857,1
21,21,2731-6661,1
30,30,2949-7884,1
24,24,2949-9186,1
31,31,2949-7892,1
14,14,2771-9987,1
12,12,2771-9693,1
32,32,2949-7477,1
16,16,2772-4441,1
28,28,2949-6683,1
12,12,2731-8710,1
1,1,2836-1512,1
32,32,2752-7948,1
15,15,1647-712X,1
6,6,2950-1059,1
4,4,2949-9267,1
1,1,2949-9216,1
8,8,2751-0069,1
3,3,2772-9990,1
1,1,2948-1716,1
3,3,2750-9761,1
21,21,2949-6888,1
12,12,2949-9151,1
9,9,2753-2410,1
1,1,2666-3953,1
14,14,2731-9210,1
5,5,2731-9202,1
25,25,2949-8295,1
4,4,2949-8775,1
30,30,2772-6525,1
11,11,2835-9380,1
5,5,2770-2030,1
25,25,2731-0868,1
6,6,2731-4278,1
4,4,2834-7056,1
6,6,2948-1767,1
1,1,2332-4015,1
22,22,2772-8285,1
6,6,2731-8117,1
3,3,2948-1775,1
7,7,2772-8277,1
11,11,2949-8236,1
24,24,2949-7507,1
3,3,2832-2134,1
5,5,2731-6955,1
2,2,2833-373X,1
7,7,2754-6330,1
4,4,2773-0662,1
2,2,2641-5321,1
8,8,2939-7375,1
2,2,2950-1385,1
2,2,2949-8562,1
1,1,2948-1570,1
1,1,2833-0501,1
483,482,2772-963X,0.9979296066252588
370,369,1441-2772,0.9972972972972973
674,672,2472-5552,0.9970326409495549
458,456,2472-6303,0.9956331877729258
200,199,0960-4286,0.995
183,182,0810-9028,0.994535519125683
1006,1000,2732-527X,0.9940357852882704
122,121,2772-3909,0.9918032786885246
118,117,1019-8288,0.9915254237288136
168,166,2755-1520,0.9880952380952381
84,83,2747-5085,0.9880952380952381
304,300,2576-3342,0.9868421052631579
62,61,2949-8899,0.9838709677419355
51,50,2468-7332,0.9803921568627451
47,46,2750-1930,0.9787234042553191
46,45,2831-3267,0.9782608695652174
45,44,2475-5028,0.9777777777777777
38,37,2755-9637,0.9736842105263158
34,33,2772-8137,0.9705882352941176
121,117,2772-9060,0.9669421487603306
26,25,2667-1190,0.9615384615384616
78,75,2768-5608,0.9615384615384616
25,24,2835-8279,0.96
